행정구역(구동)별(1),행정구역(구동)별(2),연령별(1),2018,2019,2020,,,
권선구,호매실동,20∼24세,2350,2426,2364,14846,15041,14336
권선구,호매실동,25∼29세,2668,2781,2720,,,
권선구,호매실동,30∼34세,4030,3873,3562,,,
권선구,호매실동,35∼39세,5798,5961,5690,,,
권선구,호매실동,40∼44세,3785,4328,4876,12110,13606,14382
권선구,호매실동,45∼49세,3024,3363,3491,,,
권선구,호매실동,50∼54세,2725,2993,3100,,,
권선구,호매실동,55∼59세,2576,2922,2915,,,
권선구,호매실동,60∼64세,1858,2136,2389,4892,5509,6125
권선구,호매실동,65∼69세,999,1174,1388,,,
권선구,호매실동,70∼74 세,858,935,942,,,
권선구,호매실동,75∼79세,544,560,629,,,
권선구,호매실동,80∼84세,375,419,437,,,
권선구,호매실동,85세이상,258,285,340,,,
권선구,권선1동,합계,25382,24834,24858,,,
권선구,권선1동,0∼4세,806,695,622,3643,3305,3041
권선구,권선1동,5∼9세,788,734,685,,,
권선구,권선1동,10∼14세,848,795,813,,,
권선구,권선1동,15∼19세,1201,1081,921,,,
권선구,권선1동,20∼24세,1961,1908,1851,9402,9346,9517
권선구,권선1동,25∼29세,2782,2975,3190,,,
권선구,권선1동,30∼34세,2420,2363,2459,,,
권선구,권선1동,35∼39세,2239,2100,2017,,,
권선구,권선1동,40∼44세,1889,1721,1725,8454,8107,7900
권선구,권선1동,45∼49세,2143,2019,1975,,,
권선구,권선1동,50∼54세,2224,2186,2070,,,
권선구,권선1동,55∼59세,2198,2181,2130,,,
권선구,권선1동,60∼64세,1493,1596,1753,3883,4076,4400
권선구,권선1동,65∼69세,874,936,1024,,,
권선구,권선1동,70∼74 세,582,595,658,,,
권선구,권선1동,75∼79세,423,421,432,,,
권선구,권선1동,80∼84세,309,306,309,,,
권선구,권선1동,85세이상,202,222,224,,,
권선구,권선2동,합계,51369,50334,49547,,,
권선구,권선2동,0∼4세,3193,2787,2434,12441,11708,11183
권선구,권선2동,5∼9세,3403,3341,3270,,,
권선구,권선2동,10∼14세,2741,2669,2776,,,
권선구,권선2동,15∼19세,3104,2911,2703,,,
권선구,권선2동,20∼24세,3515,3392,3231,16320,15487,14718
권선구,권선2동,25∼29세,3748,3623,3526,,,
권선구,권선2동,30∼34세,3767,3579,3447,,,
권선구,권선2동,35∼39세,5290,4893,4514,,,
권선구,권선2동,40∼44세,4570,4518,4706,17095,17008,16963
권선구,권선2동,45∼49세,4501,4432,4313,,,
권선구,권선2동,50∼54세,4188,4258,4146,,,
권선구,권선2동,55∼59세,3836,3800,3798,,,
권선구,권선2동,60∼64세,2319,2605,2872,5513,6131,6683
권선구,권선2동,65∼69세,1203,1359,1573,,,
권선구,권선2동,70∼74 세,762,849,914,,,
권선구,권선2동,75∼79세,561,577,580,,,
권선구,권선2동,80∼84세,367,423,413,,,
권선구,권선2동,85세이상,301,318,331,,,
권선구,곡선동,합계,28651,27863,27498,,,
권선구,곡선동,0∼4세,1059,867,760,4712,4329,3959
권선구,곡선동,5∼9세,1043,993,920,,,
권선구,곡선동,10∼14세,1098,1067,1044,,,
권선구,곡선동,15∼19세,1512,1402,1235,,,
