"죄종별(1)","죄종별(2)","성별(1)",연령별(1),2018,2019,2020,2021
"폭력범죄","폭행","여자",20세이하,3919,3636,3090,2428
"폭력범죄","폭행","여자",30세이하,10207,10040,8972,7569
"폭력범죄","폭행","여자",40세이하,10452,11020,9094,7853
"폭력범죄","폭행","여자",50세이하,11512,11426,9653,8208
"폭력범죄","폭행","여자",60세이하,9701,9822,8705,7049
"폭력범죄","폭행","여자",60세초과,5522,6085,5759,5518
"폭력범죄","폭행","여자",미상,26,11,14,23
"폭력범죄","폭행","불상",계,21502,23107,20356,19070
"폭력범죄","체포·감금","계",계,1207,1243,1209,1165
"폭력범죄","체포·감금","남자",계,335,349,441,350
"폭력범죄","체포·감금","남자",6세이하,1,1,-,1
"폭력범죄","체포·감금","남자",12세이하,5,2,2,3
"폭력범죄","체포·감금","남자",15세이하,17,21,26,18
"폭력범죄","체포·감금","남자",20세이하,59,71,87,64
"폭력범죄","체포·감금","남자",30세이하,47,45,70,65
"폭력범죄","체포·감금","남자",40세이하,46,36,51,37
"폭력범죄","체포·감금","남자",50세이하,50,57,61,40
"폭력범죄","체포·감금","남자",60세이하,58,54,67,55
"폭력범죄","체포·감금","남자",60세초과,51,61,75,65
"폭력범죄","체포·감금","남자",미상,1,1,2,2
"폭력범죄","체포·감금","여자",계,863,883,750,793
"폭력범죄","체포·감금","여자",6세이하,1,2,-,-
"폭력범죄","체포·감금","여자",12세이하,2,3,4,4
"폭력범죄","체포·감금","여자",15세이하,16,14,12,15
"폭력범죄","체포·감금","여자",20세이하,102,94,77,85
"폭력범죄","체포·감금","여자",30세이하,230,226,205,219
"폭력범죄","체포·감금","여자",40세이하,180,170,146,142
"폭력범죄","체포·감금","여자",50세이하,181,189,156,158
"폭력범죄","체포·감금","여자",60세이하,104,127,107,106
"폭력범죄","체포·감금","여자",60세초과,46,56,43,60
"폭력범죄","체포·감금","여자",미상,1,2,-,4
"폭력범죄","체포·감금","불상",계,9,11,18,22
"폭력범죄","폭력행위등","계",계,9204,8350,7398,6484
"폭력범죄","폭력행위등","남자",계,5987,5283,4832,4119
"폭력범죄","폭력행위등","남자",6세이하,-,1,-,2
"폭력범죄","폭력행위등","남자",12세이하,32,35,29,32
"폭력범죄","폭력행위등","남자",15세이하,421,409,355,274
"폭력범죄","폭력행위등","남자",20세이하,1127,977,797,708
"폭력범죄","폭력행위등","남자",30세이하,1555,1317,1247,1017
"폭력범죄","폭력행위등","남자",40세이하,882,779,677,555
"폭력범죄","폭력행위등","남자",50세이하,804,730,707,533
"폭력범죄","폭력행위등","남자",60세이하,819,653,611,544
"폭력범죄","폭력행위등","남자",60세초과,335,365,393,436
"폭력범죄","폭력행위등","남자",미상,12,17,16,18
"폭력범죄","폭력행위등","여자",계,1820,1803,1464,1403
"폭력범죄","폭력행위등","여자",6세이하,2,1,-,1
"폭력범죄","폭력행위등","여자",12세이하,20,18,12,23
"폭력범죄","폭력행위등","여자",15세이하,301,238,192,194
"폭력범죄","폭력행위등","여자",20세이하,310,319,231,203
"폭력범죄","폭력행위등","여자",30세이하,335,323,272,262
"폭력범죄","폭력행위등","여자",40세이하,198,203,178,153
"폭력범죄","폭력행위등","여자",50세이하,250,249,206,221
"폭력범죄","폭력행위등","여자",60세이하,242,273,195,192
"폭력범죄","폭력행위등","여자",60세초과,159,179,174,151
"폭력범죄","폭력행위등","여자",미상,3,-,4,3
"폭력범죄","폭력행위등","불상",계,1397,1264,1102,962
